# R0[kpc]  alpha  rhos[GeV/cm3]  Rs[kpc]  chi2
7.5  0.7  0.4000  27.6959  756.4469
7.5  0.7  0.4000  29.4420  851.5013
7.5  0.7  0.4000  31.2982  951.0888
7.5  0.7  0.4000  33.2714  1054.8326
7.5  0.7  0.4000  35.3690  1162.3526
7.5  0.7  0.4000  37.5988  1273.2680
7.5  0.7  0.4000  39.9692  1387.2005
7.5  0.7  0.4000  42.4891  1503.7766
7.5  0.7  0.4000  45.1678  1622.6298
7.5  0.7  0.4000  48.0154  1743.4026
7.5  0.7  0.4000  51.0425  1865.7482
7.5  0.7  0.4000  54.2605  1989.3322
7.5  0.7  0.4000  57.6813  2113.8331
7.5  0.7  0.4000  61.3179  2238.9441
7.5  0.7  0.4000  65.1836  2364.3732
7.5  0.7  0.4000  69.2931  2489.8444
7.5  0.7  0.4000  73.6617  2615.0975
7.5  0.7  0.4000  78.3057  2739.8887
7.5  0.7  0.4000  83.2425  2863.9906
7.5  0.7  0.4000  88.4905  2987.1921
7.5  0.7  0.4000  94.0694  3109.2985
7.5  0.7  0.4000  100.0000  3230.1306
7.5  0.7  0.4400  5.0000  44.4137
7.5  0.7  0.4400  5.3152  39.2601
7.5  0.7  0.4400  5.6503  34.2736
7.5  0.7  0.4400  6.0065  29.6767
7.5  0.7  0.4400  6.3852  25.3389
7.5  0.7  0.4400  6.7878  20.1223
7.5  0.7  0.4400  7.2157  15.8957
7.5  0.7  0.4400  7.6706  13.1181
7.5  0.7  0.4400  8.1542  11.0787
7.5  0.7  0.4400  8.6683  11.2422
7.5  0.7  0.4400  9.2148  13.3188
7.5  0.7  0.4400  9.7958  18.4562
7.5  0.7  0.4400  10.4133  26.1701
7.5  0.7  0.4400  11.0698  38.4127
7.5  0.7  0.4400  11.7677  55.8223
7.5  0.7  0.4400  12.5096  77.5664
7.5  0.7  0.4400  13.2983  104.9868
7.5  0.7  0.4400  14.1367  138.4357
7.5  0.7  0.4400  15.0279  177.6064
7.5  0.7  0.4400  15.9754  225.0145
7.5  0.7  0.4400  16.9825  280.5360
7.5  0.7  0.4400  18.0532  343.9960
7.5  0.7  0.4400  19.1914  415.1732
7.5  0.7  0.4400  20.4013  493.8046
7.5  0.7  0.4400  21.6875  579.5900
7.5  0.7  0.4400  23.0548  672.1975
7.5  0.7  0.4400  24.5083  771.2676
7.5  0.7  0.4400  26.0534  876.4184
7.5  0.7  0.4400  27.6959  987.2498
7.5  0.7  0.4400  29.4420  1103.3481
7.5  0.7  0.4400  31.2982  1224.2899
7.5  0.7  0.4400  33.2714  1349.6460
7.5  0.7  0.4400  35.3690  1478.9850
7.5  0.7  0.4400  37.5988  1611.8763
7.5  0.7  0.4400  39.9692  1747.8937
7.5  0.7  0.4400  42.4891  1886.6173
7.5  0.7  0.4400  45.1678  2027.6365
