# R0=8.178 kpc
# V0[km/s]  gamma  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.4  0.2761  14.3568  58.2885
218.0  1.4  0.2761  14.7961  58.0506
218.0  1.4  0.2761  15.2488  58.2009
218.0  1.4  0.2761  15.7153  56.8577
218.0  1.4  0.2761  16.1962  57.7945
218.0  1.4  0.2761  16.6917  58.2256
218.0  1.4  0.2761  17.2024  57.9965
218.0  1.4  0.2761  17.7287  57.4696
218.0  1.4  0.2761  18.2711  58.3234
218.0  1.4  0.2761  18.8301  57.2337
218.0  1.4  0.2761  19.4063  56.5317
218.0  1.4  0.2761  20.0000  56.7035
218.0  1.4  0.2761  20.6119  57.0947
218.0  1.4  0.2761  21.2425  56.7295
218.0  1.4  0.2761  21.8925  55.7473
218.0  1.4  0.2761  22.5623  56.4778
218.0  1.4  0.2761  23.2526  57.2121
218.0  1.4  0.2761  23.9640  55.7873
218.0  1.4  0.2761  24.6972  56.4582
218.0  1.4  0.2761  25.4528  55.2031
218.0  1.4  0.2761  26.2316  55.8197
218.0  1.4  0.2761  27.0341  55.2904
218.0  1.4  0.2761  27.8613  54.6711
218.0  1.4  0.2761  28.7137  55.2149
218.0  1.4  0.2761  29.5922  53.9839
218.0  1.4  0.2761  30.4976  54.4622
218.0  1.4  0.2761  31.4307  54.9403
218.0  1.4  0.2761  32.3923  55.4174
218.0  1.4  0.2761  33.3834  54.3168
218.0  1.4  0.2761  34.4048  54.8477
218.0  1.4  0.2761  35.4574  53.3205
218.0  1.4  0.2761  36.5422  53.7004
218.0  1.4  0.2761  37.6603  53.1788
218.0  1.4  0.2761  38.8125  53.6304
218.0  1.4  0.2761  40.0000  52.6680
218.0  1.4  0.2870  5.0000  64.4784
218.0  1.4  0.2870  5.1530  64.5072
218.0  1.4  0.2870  5.3106  63.0830
218.0  1.4  0.2870  5.4731  63.7429
218.0  1.4  0.2870  5.6406  62.8577
218.0  1.4  0.2870  5.8131  61.8041
218.0  1.4  0.2870  5.9910  62.1215
218.0  1.4  0.2870  6.1743  62.3302
218.0  1.4  0.2870  6.3632  60.7629
218.0  1.4  0.2870  6.5579  61.5026
218.0  1.4  0.2870  6.7585  61.7330
218.0  1.4  0.2870  6.9653  60.8289
218.0  1.4  0.2870  7.1784  61.2149
218.0  1.4  0.2870  7.3981  60.5849
218.0  1.4  0.2870  7.6244  61.2078
218.0  1.4  0.2870  7.8577  60.7162
218.0  1.4  0.2870  8.0981  60.9817
218.0  1.4  0.2870  8.3458  60.1643
218.0  1.4  0.2870  8.6012  59.2571
218.0  1.4  0.2870  8.8644  59.7123
218.0  1.4  0.2870  9.1356  59.5784
218.0  1.4  0.2870  9.4151  59.1436
218.0  1.4  0.2870  9.7031  59.2466
218.0  1.4  0.2870  10.0000  58.7273
218.0  1.4  0.2870  10.3060  59.3088
218.0  1.4  0.2870  10.6213  58.2981
218.0  1.4  0.2870  10.9462  57.7383
218.0  1.4  0.2870  11.2811  58.1458
218.0  1.4  0.2870  11.6263  58.3664
218.0  1.4  0.2870  11.9820  58.0203
218.0  1.4  0.2870  12.3486  57.7881
218.0  1.4  0.2870  12.7264  58.4404
218.0  1.4  0.2870  13.1158  57.5693
218.0  1.4  0.2870  13.5171  58.3904
218.0  1.4  0.2870  13.9306  57.8562
218.0  1.4  0.2870  14.3568  57.8031
218.0  1.4  0.2870  14.7961  57.0419
218.0  1.4  0.2870  15.2488  56.8223
218.0  1.4  0.2870  15.7153  56.4953
