# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.5  0.2831  9.7678  61.9783
218.0  1.5  0.2831  10.1182  61.8024
218.0  1.5  0.2831  10.4811  58.1904
218.0  1.5  0.2831  10.8571  57.1994
218.0  1.5  0.2831  11.2466  57.0266
218.0  1.5  0.2831  11.6501  55.4771
218.0  1.5  0.2831  12.0680  53.9586
218.0  1.5  0.2831  12.5009  51.9822
218.0  1.5  0.2831  12.9494  50.0476
218.0  1.5  0.2831  13.4139  50.0498
218.0  1.5  0.2831  13.8951  50.0459
218.0  1.5  0.2831  14.3936  48.2927
218.0  1.5  0.2831  14.9099  48.2695
218.0  1.5  0.2831  15.4448  47.3072
218.0  1.5  0.2831  15.9988  44.6450
218.0  1.5  0.2831  16.5728  44.3874
218.0  1.5  0.2831  17.1673  44.3528
218.0  1.5  0.2831  17.7831  41.9217
218.0  1.5  0.2831  18.4211  41.8244
218.0  1.5  0.2831  19.0819  41.7415
218.0  1.5  0.2831  19.7664  41.2579
218.0  1.5  0.2831  20.4755  41.1475
218.0  1.5  0.2831  21.2100  40.5544
218.0  1.5  0.2831  21.9709  40.5249
218.0  1.5  0.2831  22.7591  40.3450
218.0  1.5  0.2831  23.5755  40.3626
218.0  1.5  0.2831  24.4212  40.2694
218.0  1.5  0.2831  25.2973  40.2932
218.0  1.5  0.2831  26.2048  37.2597
218.0  1.5  0.2831  27.1448  37.2572
218.0  1.5  0.2831  28.1186  37.2645
218.0  1.5  0.2831  29.1273  37.2806
218.0  1.5  0.2831  30.1722  37.3047
218.0  1.5  0.2831  31.2546  37.3358
218.0  1.5  0.2831  32.3758  37.3732
218.0  1.5  0.2831  33.5372  37.4160
218.0  1.5  0.2831  34.7403  34.8108
218.0  1.5  0.2831  35.9865  34.8532
218.0  1.5  0.2831  37.2775  34.8995
218.0  1.5  0.2831  38.6148  34.9491
218.0  1.5  0.2831  40.0000  35.0015
218.0  1.5  0.2949  5.0000  125.5573
218.0  1.5  0.2949  5.1794  110.1976
218.0  1.5  0.2949  5.3652  99.3440
218.0  1.5  0.2949  5.5576  89.7673
218.0  1.5  0.2949  5.7570  89.1937
218.0  1.5  0.2949  5.9635  87.7015
218.0  1.5  0.2949  6.1775  84.3381
218.0  1.5  0.2949  6.3991  81.7242
218.0  1.5  0.2949  6.6286  80.9332
218.0  1.5  0.2949  6.8664  80.3141
218.0  1.5  0.2949  7.1127  78.3526
218.0  1.5  0.2949  7.3679  77.0029
218.0  1.5  0.2949  7.6322  73.4659
218.0  1.5  0.2949  7.9060  73.7328
218.0  1.5  0.2949  8.1896  69.6219
218.0  1.5  0.2949  8.4834  70.4656
218.0  1.5  0.2949  8.7877  68.5903
218.0  1.5  0.2949  9.1030  65.4945
218.0  1.5  0.2949  9.4295  63.4792
218.0  1.5  0.2949  9.7678  61.0365
218.0  1.5  0.2949  10.1182  59.5346
218.0  1.5  0.2949  10.4811  58.3330
218.0  1.5  0.2949  10.8571  57.9118
