# R0=8.178 kpc
# V0[km/s]  rho0[GeV/cm3]  Rc[kpc]  chi2
218.0  0.3068  3.5602  62.7823
218.0  0.3068  4.0687  62.5530
218.0  0.3068  4.5771  62.9144
218.0  0.3068  5.0856  62.0649
218.0  0.3068  5.5940  63.7138
218.0  0.3068  6.1025  63.9295
218.0  0.3068  6.6109  67.1233
218.0  0.3068  7.1194  67.6845
218.0  0.3068  7.6279  72.6894
218.0  0.3068  8.1363  76.7309
218.0  0.3068  8.6448  82.9631
218.0  0.3068  9.1532  91.4822
218.0  0.3068  9.6617  102.3921
218.0  0.3068  10.1702  113.9757
218.0  0.3068  10.6786  129.2993
218.0  0.3068  11.1871  150.7132
218.0  0.3068  11.6955  100000.0000
218.0  0.3068  12.2040  100000.0000
218.0  0.3068  12.7124  100000.0000
218.0  0.3068  13.2209  100000.0000
218.0  0.3068  13.7294  100000.0000
218.0  0.3068  14.2378  100000.0000
218.0  0.3068  14.7463  100000.0000
218.0  0.3068  15.2547  100000.0000
218.0  0.3068  15.7632  100000.0000
218.0  0.3068  16.2716  100000.0000
218.0  0.3068  16.7801  100000.0000
218.0  0.3068  17.2886  100000.0000
218.0  0.3068  17.7970  100000.0000
218.0  0.3068  18.3055  100000.0000
218.0  0.3068  18.8139  100000.0000
218.0  0.3068  19.3224  100000.0000
218.0  0.3068  19.8308  100000.0000
218.0  0.3068  20.3393  100000.0000
218.0  0.3068  20.8478  100000.0000
218.0  0.3068  21.3562  100000.0000
218.0  0.3068  21.8647  100000.0000
218.0  0.3068  22.3731  100000.0000
218.0  0.3068  22.8816  100000.0000
218.0  0.3068  23.3901  100000.0000
218.0  0.3068  23.8985  100000.0000
218.0  0.3068  24.4070  100000.0000
218.0  0.3068  24.9154  100000.0000
218.0  0.3068  25.4239  100000.0000
218.0  0.3068  25.9323  100000.0000
218.0  0.3068  26.4408  100000.0000
218.0  0.3068  26.9493  100000.0000
218.0  0.3068  27.4577  100000.0000
218.0  0.3068  27.9662  100000.0000
218.0  0.3068  28.4746  100000.0000
218.0  0.3068  28.9831  100000.0000
218.0  0.3068  29.4915  100000.0000
218.0  0.3068  30.0000  100000.0000
218.0  0.3186  0.0010  66.0198
218.0  0.3186  0.5095  65.3067
218.0  0.3186  1.0179  64.1838
218.0  0.3186  1.5264  63.7555
218.0  0.3186  2.0348  62.3146
218.0  0.3186  2.5433  61.6322
218.0  0.3186  3.0517  63.3368
218.0  0.3186  3.5602  62.5660
218.0  0.3186  4.0687  62.1064
218.0  0.3186  4.5771  62.3489
218.0  0.3186  5.0856  61.6557
218.0  0.3186  5.5940  61.9422
218.0  0.3186  6.1025  64.1284
218.0  0.3186  6.6109  64.1861
218.0  0.3186  7.1194  63.4065
218.0  0.3186  7.6279  70.4000
218.0  0.3186  8.1363  69.9917
218.0  0.3186  8.6448  76.7121
218.0  0.3186  9.1532  83.0674
218.0  0.3186  9.6617  87.4278
218.0  0.3186  10.1702  97.9750
218.0  0.3186  10.6786  107.6970
218.0  0.3186  11.1871  120.6096
218.0  0.3186  11.6955  150.7493
218.0  0.3186  12.2040  154.8183
218.0  0.3186  12.7124  100000.0000
218.0  0.3186  13.2209  100000.0000
218.0  0.3186  13.7294  100000.0000
218.0  0.3186  14.2378  100000.0000
218.0  0.3186  14.7463  100000.0000
218.0  0.3186  15.2547  100000.0000
218.0  0.3186  15.7632  100000.0000
218.0  0.3186  16.2716  100000.0000
218.0  0.3186  16.7801  100000.0000
218.0  0.3186  17.2886  100000.0000
218.0  0.3186  17.7970  100000.0000
218.0  0.3186  18.3055  100000.0000
218.0  0.3186  18.8139  100000.0000
218.0  0.3186  19.3224  100000.0000
218.0  0.3186  19.8308  100000.0000
218.0  0.3186  20.3393  100000.0000
218.0  0.3186  20.8478  100000.0000
218.0  0.3186  21.3562  100000.0000
218.0  0.3186  21.8647  100000.0000
218.0  0.3186  22.3731  100000.0000
218.0  0.3186  22.8816  100000.0000
218.0  0.3186  23.3901  100000.0000
218.0  0.3186  23.8985  100000.0000
218.0  0.3186  24.4070  100000.0000
218.0  0.3186  24.9154  100000.0000
218.0  0.3186  25.4239  100000.0000
218.0  0.3186  25.9323  100000.0000
218.0  0.3186  26.4408  100000.0000
218.0  0.3186  26.9493  100000.0000
218.0  0.3186  27.4577  100000.0000
218.0  0.3186  27.9662  100000.0000
218.0  0.3186  28.4746  100000.0000
